,0,1,2,3,4,5,6,7,8,9
0,-0.28572452,-0.42922977,0.26576808,0.24545017,0.22088677,0.061088625,-0.03077111,-0.42162552,0.25046802,0.046189595
1,0.31780988,0.10306493,-0.12066715,-0.06429515,-0.051300038,0.29761657,0.2838319,0.35661975,-0.56910354,-0.7050417
2,-0.22634591,0.008864014,-0.29615387,0.2844876,-0.08833526,0.20202106,-0.15004648,-0.7114664,0.29188547,-0.2306799
3,-0.35470214,0.3164901,0.27829036,0.21673843,-0.91613203,0.3079745,-0.4941111,-0.009964488,0.11840989,-0.009972713
4,-0.28185648,-0.41258952,-0.35681522,-0.26362202,-0.0167918,-0.17244518,-0.35015696,0.027532417,0.20481655,0.20025088
5,0.40358326,0.1311101,0.23739144,0.31610656,-0.7963463,-0.39328685,-0.1003906,-0.10971307,-0.084540784,0.38797784
6,0.043748457,-0.14709768,-0.21609059,0.021539751,-0.013030603,0.06855783,0.24760349,-0.44967407,0.22893381,-0.3821326
7,-0.25406468,0.11170262,0.13728768,-0.014635127,-0.3352599,-0.007388718,0.11185858,-0.46587092,0.31281614,-0.11560866
8,-0.03976822,0.23705913,-0.27597272,-0.5729047,0.4018813,-0.04662897,0.34484518,-0.053393476,-0.2572844,-0.12501979
9,-0.35855636,0.29841638,-0.2957191,-0.5301009,-0.16042687,0.6322269,-0.48684266,0.18166012,-0.226106,0.16849591
10,-0.50858825,-0.04210668,0.24747638,-0.03251743,0.2040649,0.0591741,0.29776788,-0.5371796,-0.50547713,0.27359748
11,-0.28673849,0.28708836,-0.06368539,-0.612361,-0.49073067,0.44583806,0.517267,-0.21463865,0.18543886,0.46708488
12,0.11070513,0.2753034,-0.72186434,0.27688906,-0.7733718,0.41686773,0.16417368,0.258311,-8.368326e-06,-0.30867568
13,-0.12145156,0.1616618,-0.0056674303,0.06340031,0.026224162,-0.67920434,-0.80330694,0.2923649,0.044118613,0.23190068
14,-0.35563648,-0.12395829,0.28823042,0.4116454,-0.5790871,0.5820195,-0.641729,-0.17924006,-0.6563431,0.06862446
15,0.2236182,0.018314822,-0.031046133,0.013859587,-0.13171569,-0.06374428,0.09244911,-0.21877205,-0.049286924,0.05235991
16,0.20973593,-0.4464237,-0.13625915,-0.29374945,-0.157747,-0.19489291,0.2995005,-0.14570986,0.11065557,0.30916992
17,0.24947667,0.15470843,0.33014405,0.036676414,-0.38158214,0.52436924,-0.22105381,-0.42337078,-0.73151594,-0.48682284
18,0.20021844,-0.48371387,-0.050351378,-0.20644309,0.33882397,0.26088923,0.029473212,0.024048366,0.059644323,0.15463755
19,0.18799092,-0.030674743,-0.31143537,-0.24486464,0.0967938,-0.078910634,-0.56898195,0.36461407,-0.21080384,0.25738436
20,-0.45258948,0.3095723,0.2527585,-0.03385957,-0.23696728,-0.026492987,-0.08941245,0.56098586,-0.72092634,-1.010349
21,0.16071627,-0.20520648,-0.118138194,-0.50733846,0.25848898,0.17005691,-0.1847601,-0.28458428,0.08949631,-0.28805447
22,-0.1608647,-0.2965432,-0.015949998,-0.39737016,0.24566565,-0.02481374,0.3504193,-0.23870008,0.12087007,-0.7390912
23,-0.14309064,0.2631147,0.106851034,0.17908841,-0.5300798,0.17202665,-0.14640169,-0.42714223,0.32352766,-0.5110515
24,0.15928729,-0.4327394,-0.26929668,-0.27860108,-0.2539746,0.23765627,0.23149781,0.049673203,0.05057282,-0.01807514
25,-0.46501714,0.11953499,-0.7569571,0.2692439,-0.5272245,0.6895976,-0.105139874,0.5233431,-0.4628263,0.012900783
26,-0.13916075,-0.39923188,-0.13179438,0.25437787,-0.14080681,-0.20933747,0.13518879,0.07805576,0.07372377,0.21593148
27,0.18952325,-0.106929414,0.19889577,-0.20746681,0.27325657,-0.2862924,-0.25316945,0.1593181,0.31742147,-0.081420235
28,0.16756205,0.68284154,-0.7355732,-0.49062574,0.08873375,0.21476097,0.31247836,0.28391105,-0.42069995,0.2589263
29,-0.13076134,0.4876319,-0.38263687,-0.7203631,0.56188977,0.0698736,0.016436448,0.12758122,0.41479114,-0.122174054
30,0.40533516,0.25604004,-0.61063135,0.32843655,0.38347277,-0.17619278,0.17813453,-0.29616874,0.1509022,0.28620118
31,-0.60531074,-0.22576177,-0.23933826,0.4470508,0.031441443,0.37533537,-0.83987546,0.12311683,0.011142219,0.17529497
32,-0.115907595,0.17380966,0.366636,-0.27191684,0.2721661,-0.40079096,-0.47983104,0.22819254,-0.33322844,0.26558334
33,0.07681979,0.11918197,0.26072836,0.016566124,-0.44227222,-0.1772856,0.34296116,-0.41249603,-0.06936425,0.33214444
34,-0.59208506,0.077336356,0.44563106,-0.4554908,0.061241165,-0.39181915,-0.5603067,0.5507336,0.6347027,-0.44937122
35,0.11101941,0.15789157,0.32576433,0.06612723,0.59885365,-0.5899347,-0.64439934,0.11358947,-0.26046622,0.14538531
36,-0.22411604,0.23633501,0.6205594,0.039681733,0.20203617,0.030139366,-0.27358094,0.35839525,-0.6702125,0.17734177
37,-0.02228709,-0.37406045,-0.03380608,0.34264797,-0.1980428,-0.03995611,0.18776207,0.29675934,0.026312565,-0.30824783
38,0.18266724,-0.8199037,-0.4844714,-0.033802994,-0.25597486,0.14233239,0.22927432,-0.380568,0.033548955,0.50937366
39,-0.64924353,0.30094844,0.3255321,0.45840508,-0.63564414,-0.18499397,-0.24128777,0.41287956,-0.23604532,-0.78420085
40,-0.009015848,0.060663167,0.3602399,-0.16416514,-0.61852044,-0.496223,0.18815477,-0.021139618,-0.075849734,0.20168118
41,0.24551968,-0.35436717,-0.25651184,0.33870506,0.06912622,-0.03984153,-0.07620671,0.06794894,0.05185322,-0.17349795
42,-0.5666168,0.0068213753,0.20691241,-0.2827855,-0.15560025,-0.0136915315,-0.35206565,0.304032,0.3162827,-0.40111563
43,-0.8641812,0.61710113,-0.2939766,-0.61950815,-0.008682176,-0.4583276,-0.11679097,-0.12756658,-0.68170494,0.28470513
44,0.19142169,0.0036408764,0.31286186,-0.16160603,0.1647184,-0.22139665,0.03540658,0.4476862,-0.3784471,-0.027614301
45,0.5995454,0.2648542,0.3255918,-0.19222999,-0.17176741,-0.8624839,0.42917147,0.57595,-0.069326706,-0.6799475
46,0.38149923,0.19093393,0.50531065,0.22011817,-0.15012048,0.050284363,0.1451586,0.33403754,-0.4117073,-0.4883171
47,-0.0877001,0.53113616,-0.015914904,0.41459733,0.6586345,-0.8461123,-0.41833237,-0.23105878,0.08107242,-0.34668437
48,0.25782213,-0.46169847,0.08204999,0.21375662,0.29683676,-0.1062073,-0.028371695,0.12723367,0.116078205,0.12436611
49,-0.34750092,-0.049641542,-0.3743196,0.22979349,0.2156454,-0.3619743,0.06064218,-0.024033435,0.22804324,0.246438
50,0.08304246,0.14724672,0.22276035,-0.8098098,0.43158647,-0.3158431,0.3849883,0.37174314,-0.19969626,-0.20334218
51,0.2097958,0.2300984,0.2939634,-0.13415758,-0.39600655,0.2588252,-0.26394287,-0.3651906,-0.13364555,-0.2691711
52,-0.07516981,-0.42067727,0.08214101,0.1253854,-0.05625841,-0.1440544,0.22406662,0.023850203,0.08970382,-0.23883466
53,-0.45803475,0.12404343,-0.4123132,-0.05913383,0.1991303,0.24515907,0.07173368,0.23566203,-0.0040168148,-0.087063454
54,-0.0083793625,0.36171407,-0.8717435,-0.52798057,0.25078192,0.43941844,0.10442547,-0.12389442,-0.21817942,0.23538475
55,0.26793388,-0.47540593,0.06707744,-0.7100838,-0.04930858,-0.64624774,-0.18345867,-0.2973568,0.44567674,0.11149778
56,0.08116746,0.27450508,0.29121816,-0.056064837,-0.016751483,-0.18812726,0.24432813,-0.34789205,-0.012627791,-0.76674044
57,-0.41520813,0.26913223,0.18322045,0.19358902,0.2570694,-0.115905866,0.3018108,-0.29013178,-0.09008852,0.06444051
58,0.27985328,0.34226388,0.1481243,0.085401185,-0.33442032,0.12429055,-0.23267737,-0.6450211,-0.29646915,0.078761354
